lncRNA,target_symbol,lnc_id,mrna_id,rho_all,padj_all,rho_t2d,padj_t2d
NEAT1,CCN2,ENSG00000245532,ENSG00000118523,0.297770287788437,0.0402302607424887,0.147165991902834,0.535180354479208
NEAT1,GLI1,ENSG00000245532,ENSG00000111087,0.393467928465043,0.00601387474727565,0.212015542889952,0.356664207148402
NEAT1,DKK3,ENSG00000245532,ENSG00000050165,0.44652579725175,0.00191654443243916,0.275708502024292,0.222258695792192
NEAT1,FES,ENSG00000245532,ENSG00000182511,0.640134819808141,5.70082112533092e-06,0.573076923076923,0.0042512367005056
NEAT1,BMPR1B,ENSG00000245532,ENSG00000138696,0.288463512442406,0.0468374307988614,0.106990936372931,0.672602871985378
NEAT1,NR4A2,ENSG00000245532,ENSG00000153234,0.394218304381644,0.00611337591575854,0.258906882591093,0.247868194395956
NEAT1,COL1A1,ENSG00000245532,ENSG00000108821,0.435571687840291,0.00246103565273312,0.352631578947368,0.097930841335752
NEAT1,IL18,ENSG00000245532,ENSG00000150782,0.426367643246046,0.00291867404012916,0.379352226720648,0.0728671746639629
NEAT1,NGFR,ENSG00000245532,ENSG00000064300,0.492383484537402,0.000532337084213489,0.396983653527286,0.0593099806969777
NEAT1,TWIST2,ENSG00000245532,ENSG00000233608,0.454682865925692,0.00149247397573731,0.338567757318659,0.118547473682633
DLGAP1-AS1,VIM,ENSG00000177337,ENSG00000026025,0.463507907700285,0.0013232117503705,0.300404858299595,0.175278111594651
DLGAP1-AS1,TWIST2,ENSG00000177337,ENSG00000233608,0.303110867119947,0.0366786015240951,0.0599153673638989,0.834761382471299
NEAT1,MARCKSL1,ENSG00000245532,ENSG00000175130,0.359152190821882,0.0133144052017153,0.268421052631579,0.236882046104243
NEAT1,PAPPA,ENSG00000245532,ENSG00000182752,0.354477979437457,0.0139238687953742,0.147975708502024,0.535180354479208
NEAT1,FGG,ENSG00000245532,ENSG00000171557,0.422591934123562,0.00291867404012916,0.370068007522685,0.075994284163344
NEAT1,BRCA2,ENSG00000245532,ENSG00000139618,0.429738138449572,0.00281518899540563,0.476720647773279,0.0162773626710329
NEAT1,CCL5,ENSG00000245532,ENSG00000271503,0.552048224008297,0.000120247261936848,0.527935222672065,0.00896163004761859
NEAT1,SLPI,ENSG00000245532,ENSG00000124107,0.398042520093337,0.00578773472904456,0.206275303643725,0.369549423471913
NEAT1,CFH,ENSG00000245532,ENSG00000000971,0.339123671247083,0.0192058272037496,0.14412955465587,0.539238086700077
CASC15,RUNX3,ENSG00000272168,ENSG00000020633,0.428376934827324,0.00269488665674502,0.297282251506792,0.178999668393534
GAS6-AS1,RUNX3,ENSG00000233695,ENSG00000020633,0.301052544759063,0.0378609173386263,0.156214728547,0.515150219837024
CASC15,CYBB,ENSG00000272168,ENSG00000165168,0.462902343118721,0.00125151538623825,0.384634850434392,0.0666144652788782
NEAT1,FGFR3,ENSG00000245532,ENSG00000068078,0.47638650912512,0.0008927040479863,0.41601295665404,0.0433484027417293
NEAT1,TLR7,ENSG00000245532,ENSG00000196664,0.383179437011208,0.0073610148055592,0.225258787187721,0.338203218025362
NEAT1,COL16A1,ENSG00000245532,ENSG00000084636,0.497958126410785,0.000464185669095817,0.375506072874494,0.0733612060941657
NEAT1,ELN,ENSG00000245532,ENSG00000049540,0.615957998444387,1.0759434898182e-05,0.506882591093117,0.0130670676526136
NEAT1,SPP1,ENSG00000245532,ENSG00000118785,0.522167487684729,0.00031761071351956,0.389271255060729,0.0666144652788782
NR2F2-AS1,RUNX1,ENSG00000247809,ENSG00000159216,0.591634661272548,1.70169638518409e-05,0.522064777327935,0.00961613714691319
NR2F2-AS1,CCN2,ENSG00000247809,ENSG00000118523,0.659622740738889,1.78820378245723e-06,0.594736842105263,0.00389222162095512
NR2F2-AS1,IGF1,ENSG00000247809,ENSG00000017427,0.60899867382527,1.06250573489899e-05,0.559424996281318,0.0042512367005056
NEAT1,LSP1,ENSG00000245532,ENSG00000130592,0.447764580117449,0.00178252253575484,0.565182186234818,0.0042512367005056
LINC01013,EDN1,ENSG00000228495,ENSG00000078401,0.307058955225298,0.0349317985396689,0.376687130819163,0.0728671746639629
NR2F2-AS1,NR4A2,ENSG00000247809,ENSG00000153234,0.398197965444084,0.00554198786175334,0.245344129554656,0.282382051392315
NR2F2-AS1,TLR7,ENSG00000247809,ENSG00000196664,0.422687521362591,0.00291867404012916,0.266196414877352,0.23986252118276
GAS6-AS1,TLR7,ENSG00000233695,ENSG00000196664,0.341291854841494,0.0179053574986002,0.220696721311475,0.345729312552642
GAS6-AS1,SOCS1,ENSG00000233695,ENSG00000185338,0.380044926158966,0.00776929424432693,0.322018234082248,0.138627130242781
NEAT1,CDH11,ENSG00000245532,ENSG00000140937,0.350012963443091,0.0156958855495016,0.199392712550607,0.38599353413135
NEAT1,EPHB4,ENSG00000245532,ENSG00000196411,0.615053004739005,8.86780964118229e-06,0.612348178137652,0.00389222162095512
CASC15,CCL5,ENSG00000272168,ENSG00000271503,0.446371274216645,0.0018200272018777,0.478769169093336,0.0160557613352789
CASC15,PAPPA,ENSG00000272168,ENSG00000182752,0.516955196784024,0.000317510844161011,0.585454730240138,0.00389222162095512
NEAT1,TFF1,ENSG00000245532,ENSG00000160182,0.396570689580368,0.00570268635821779,0.472310241852012,0.0162773626710329
NEAT1,LAMB3,ENSG00000245532,ENSG00000196878,0.509082862117325,0.000346595931599992,0.491902834008097,0.0138343829019223
NEAT1,SFRP2,ENSG00000245532,ENSG00000145423,0.355003889032927,0.0141223430109981,0.261133603238866,0.244566003890996
NEAT1,LGALS9,ENSG00000245532,ENSG00000168961,0.40598920781205,0.00451706922044566,0.281174089068826,0.217321708817618
NEAT1,CSF1R,ENSG00000245532,ENSG00000182578,0.454563131967851,0.00167712124666031,0.479757085020243,0.0162773626710329
NEAT1,LGALS1,ENSG00000245532,ENSG00000100097,0.463961628208452,0.0013232117503705,0.288866396761134,0.198989349179743
NEAT1,CORO1A,ENSG00000245532,ENSG00000102879,0.388764673664654,0.0065245655068711,0.438530474891937,0.0324695659499703
NEAT1,SERPINF2,ENSG00000245532,ENSG00000167711,0.462318893628059,0.00125151538623825,0.368421052631579,0.07847709783098
NEAT1,HOXB4,ENSG00000245532,ENSG00000182742,0.29935811726792,0.0387825848896141,0.167611336032389,0.470919048696684
NR2F2-AS1,FAS,ENSG00000247809,ENSG00000026103,0.597264537457559,1.39601731360858e-05,0.493522267206478,0.0138343829019223
NR2F2-AS1,HOXB4,ENSG00000247809,ENSG00000182742,0.466671005192626,0.00117823352656854,0.336032388663968,0.119971893510211
NEAT1,VCAN,ENSG00000245532,ENSG00000038427,0.41256157635468,0.0041430024495633,0.244939271255061,0.282382051392315
NR2F2-AS1,VCAN,ENSG00000247809,ENSG00000038427,0.683217736575068,7.07741155248721e-07,0.583198380566802,0.00389222162095512
DIO3OS,PDGFRB,ENSG00000258498,ENSG00000113721,0.577318796377553,3.20913421442647e-05,0.416413587587829,0.0433484027417293
DIO3OS,MMP14,ENSG00000258498,ENSG00000157227,0.50285460235647,0.000399834362608372,0.361011363352201,0.084969403697697
DIO3OS,AURKB,ENSG00000258498,ENSG00000178999,0.296050710943049,0.0406173782594615,0.171287921382162,0.470919048696684
DIO3OS,FGFR3,ENSG00000258498,ENSG00000068078,0.530127796794028,0.000194923569461101,0.496479281623852,0.0130670676526136
DIO3OS,CORO1A,ENSG00000258498,ENSG00000102879,0.345894667975139,0.0164250550012534,0.183608274461229,0.440894589304153
NEAT1,PDGFRB,ENSG00000245532,ENSG00000113721,0.320521130412238,0.0283655101776218,0.213562753036437,0.356664207148402
NEAT1,SERPINH1,ENSG00000245532,ENSG00000149257,0.576678765880218,4.74708025977823e-05,0.456882591093117,0.0244743941073467
NEAT1,FGA,ENSG00000245532,ENSG00000171560,0.387369941599165,0.00667333397881614,0.168303819042311,0.470919048696684
NEAT1,COL4A2,ENSG00000245532,ENSG00000134871,0.516722841586726,0.000346595931599992,0.42085020242915,0.0433484027417293
NEAT1,COL15A1,ENSG00000245532,ENSG00000204291,0.491120041483018,0.000658123174310302,0.375101214574899,0.0733612060941657
MSC-AS1,NR4A2,ENSG00000235531,ENSG00000153234,0.345466926192796,0.0164250550012534,0.243724696356275,0.282555547329996
NEAT1,AQP1,ENSG00000245532,ENSG00000240583,0.641949701840809,5.70082112533092e-06,0.534615384615385,0.00896163004761859
NR2F2-AS1,VIM,ENSG00000247809,ENSG00000026025,0.636157387736975,5.21210399815992e-06,0.500607287449393,0.0130670676526136
NR2F2-AS1,AQP1,ENSG00000247809,ENSG00000240583,0.605367214599104,1.0759434898182e-05,0.584008097165992,0.00389222162095512
NEAT1,TREM2,ENSG00000245532,ENSG00000095970,0.377889681955777,0.00810723635437557,0.276278183483059,0.222258695792192
DLGAP1-AS1,FGFR3,ENSG00000177337,ENSG00000068078,0.306084085573145,0.0352322443082111,0.174199099367787,0.470919048696684
NEAT1,GBP2,ENSG00000245532,ENSG00000162645,0.448794399792585,0.00186995811544662,0.319838056680162,0.13921985437577
NEAT1,PTP4A3,ENSG00000245532,ENSG00000184489,0.570132227119523,5.90231488456982e-05,0.425708502024292,0.0433484027417293
NEAT1,MKI67,ENSG00000245532,ENSG00000148773,0.506880328546365,0.000355941610078904,0.493708855477038,0.0130670676526136
NEAT1,CXCL2,ENSG00000245532,ENSG00000081041,0.496374995813873,0.00047478658704535,0.392502734383272,0.0626467040119031
NEAT1,RAB34,ENSG00000245532,ENSG00000109113,0.463537953913502,0.00125151538623825,0.32753036437247,0.131423144105118
LINC01915,DKK3,ENSG00000265485,ENSG00000050165,0.316540248755033,0.029518860382652,0.0362348178137652,0.912897112855632
